sensor_key,distance_threshold,outlier_threshold,remove_intersections,score_threshold,Simulation Duration (seconds),Packet Attempts (Retransmission Included),Successful Transmission Count,Transmission Count,Failed Packet Attempts,Time Spent for Successful Transmissions (seconds),Sent Data Size (byte),Total Energy Consumption (J),Hardware Sleep Mode Energy Consumption (J),Hardware Awakening Mode Energy Consumption (J),Hardware Active Mode Energy Consumption (J),Hardware Collection Mode Energy Consumption (J),Hardware Shutdown Mode Energy Consumption (J),Lorawan Module Energy Consumption (J)
t1-2,4500.0,0.0,1.0,0.47,86400.0,653.0,443.0,465.0,210.0,19245.7,8416.0,48087.4,35.4386,27.225,45194.7,2673.0,7.04,150.024
t3-1,4500.0,0.0,1.0,0.47,86400.0,649.0,353.0,383.0,296.0,15524.8,6706.0,48103.3,11.55,9.075,45261.2,2673.0,1.76,146.742
t4,4500.0,0.0,1.0,0.47,86400.0,651.0,290.0,334.0,361.0,9022.21,5509.0,48112.8,9.9,18.15,45256.2,2673.0,3.52,152.043
t8-1,4500.0,0.0,1.0,0.47,86400.0,641.0,620.0,622.0,21.0,4600.89,11779.0,48091.0,35.5067,27.225,45194.5,2673.0,7.04,153.698
cc8,4500.0,0.0,1.0,0.47,86400.0,641.0,613.0,616.0,28.0,4236.92,11646.0,48090.7,35.5067,27.225,45194.5,2673.0,7.04,153.395
cc2,4500.0,0.0,1.0,0.47,86400.0,639.0,639.0,639.0,0.0,1820.63,12140.0,48092.6,35.538,27.225,45194.5,2673.0,7.04,155.336
ec5,4500.0,0.0,1.0,0.47,86400.0,651.0,367.0,400.0,284.0,9332.62,6972.0,48086.1,32.4246,36.3,45192.5,2673.0,8.8,143.129
ec6,4500.0,0.0,1.0,0.47,86400.0,650.0,340.0,377.0,310.0,4842.98,6459.0,48090.8,32.3549,36.3,45192.6,2673.0,8.8,147.738
t3-2,4500.0,0.0,1.0,0.47,86400.0,649.0,324.0,362.0,325.0,9413.56,6155.0,48106.9,11.275,18.15,45253.5,2673.0,3.52,147.516
t7-1,4500.0,0.0,1.0,0.47,86400.0,639.0,639.0,639.0,0.0,1868.63,12140.0,48095.6,35.263,27.225,45195.0,2673.0,7.04,158.001
t3-1,3500.0,1.0,1.0,0.3,86400.0,654.0,371.0,398.0,283.0,25401.8,7048.0,48103.1,11.55,9.075,45261.2,2673.0,1.76,146.535
t4,3500.0,1.0,1.0,0.3,86400.0,652.0,398.0,427.0,254.0,18517.9,7561.0,48111.4,9.9,18.15,45256.2,2673.0,3.52,150.615
t7-2,3500.0,1.0,1.0,0.3,86400.0,650.0,475.0,491.0,175.0,17823.3,9024.0,48087.6,35.5586,27.225,45194.4,2673.0,7.04,150.334
cc8,3500.0,1.0,1.0,0.3,86400.0,654.0,540.0,549.0,114.0,28203.0,10259.0,48091.5,35.4347,27.225,45194.7,2673.0,7.04,154.152
cc7,3500.0,1.0,1.0,0.3,86400.0,651.0,299.0,338.0,352.0,13849.9,5680.0,48102.1,9.9,18.15,45256.2,2673.0,3.52,141.345
cc2,3500.0,1.0,1.0,0.3,86400.0,651.0,260.0,302.0,391.0,14050.1,4939.0,48102.5,11.55,9.075,45261.2,2673.0,1.76,145.975
ec5,3500.0,1.0,1.0,0.3,86400.0,655.0,364.0,390.0,291.0,24862.2,6915.0,48083.6,35.4702,27.225,45194.6,2673.0,7.04,146.267
ec6,3500.0,1.0,1.0,0.3,86400.0,656.0,321.0,358.0,335.0,17473.3,6098.0,48092.9,32.4106,36.3,45192.5,2673.0,8.8,149.959
ec4,3500.0,1.0,1.0,0.3,86400.0,653.0,406.0,435.0,247.0,14569.6,7713.0,48088.5,32.5253,36.3,45192.2,2673.0,8.8,145.669
cc1,3500.0,1.0,1.0,0.3,86400.0,657.0,620.0,621.0,37.0,37558.7,11779.0,48103.8,29.2756,36.3,45198.7,2673.0,8.8,157.67
t7-1,3500.0,1.0,1.0,0.3,86400.0,653.0,422.0,448.0,231.0,16969.0,8017.0,48092.6,32.3045,36.3,45192.7,2673.0,8.8,149.459
ec2,3500.0,1.0,1.0,0.3,86400.0,650.0,286.0,328.0,364.0,12786.7,5433.0,48101.4,11.275,18.15,45253.5,2673.0,3.52,142.034
t1-2,6000.0,2.0,0.0,0.001,86400.0,660.0,205.0,253.0,455.0,19508.9,3894.0,48102.5,12.721,18.15,45248.4,2673.0,5.28,145.029
